STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/13/2021,57,68,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/14/2021,55,61,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/15/2021,55,64,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/16/2021,58,67,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/17/2021,57,62,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/18/2021,58,68,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/19/2021,57,62,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/20/2021,56,65,50,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/21/2021,56,64,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/22/2021,58,70,49,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/23/2021,58,65,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/24/2021,56,65,51,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/25/2021,59,65,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/26/2021,58,66,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/27/2021,58,68,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/28/2021,61,68,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/29/2021,57,60,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/30/2021,59,73,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/31/2021,62,76,52,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/1/2021,63,72,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/2/2021,59,67,53,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/3/2021,60,72,54,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/4/2021,61,68,56,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/5/2021,63,74,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/6/2021,62,73,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/7/2021,60,66,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/8/2021,60,67,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/9/2021,60,67,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/10/2021,61,69,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/11/2021,62,73,55,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/12/2021,68,78,62,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/13/2021,67,77,57,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/14/2021,68,73,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/15/2021,64,74,56,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/16/2021,68,86,58,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/17/2021,71,90,62,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/18/2021,70,84,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/19/2021,67,79,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/20/2021,65,76,58,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/21/2021,66,75,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/22/2021,68,76,64,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/23/2021,68,74,62,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/24/2021,66,75,61,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/25/2021,63,71,58,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/26/2021,63,70,59,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/27/2021,63,71,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/28/2021,62,69,59,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/29/2021,63,71,59,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/30/2021,65,72,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/1/2021,66,76,61,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/2/2021,66,78,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/3/2021,65,75,61,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/4/2021,66,77,60,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",7/5/2021,65,73,60,
